,precision,recall,f1-score,support
самолёт,0.7461538461538462,0.49489795918367346,0.5950920245398773,196.0
автомобиль,0.7747252747252747,0.7121212121212122,0.7421052631578947,198.0
птица,0.5846153846153846,0.38974358974358975,0.4676923076923077,195.0
кошка,0.37237237237237236,0.6231155778894473,0.46616541353383456,199.0
олень,0.555045871559633,0.6111111111111112,0.5817307692307693,198.0
собака,0.46551724137931033,0.43783783783783786,0.45125348189415043,185.0
лягушка,0.8488372093023255,0.6759259259259259,0.7525773195876289,216.0
лошадь,0.7094972067039106,0.6580310880829016,0.6827956989247311,193.0
корабль,0.7184873949579832,0.7880184331797235,0.7516483516483516,217.0
грузовик,0.6352459016393442,0.7635467980295566,0.6935123042505593,203.0
accuracy,0.6195,0.6195,0.6195,0.6195
macro avg,0.6410497703409385,0.6154349533104979,0.6184572934460105,2000.0
weighted avg,0.6444560567048333,0.6195,0.6222166718301895,2000.0
